#Comment,
#ID Code,6111D02 ??‘ªŽŽ
#2023/05/31 11:32:40,TEST No.,2         ,Piece,1    ,,,Sheet,1    
#File,6111D02-All Net GND Net›“‘ªOPEN or Short-221220
#Start time,2023/05/31 10:42:36
#End time,2023/05/31 11:18:28
#
#
#TEST Result,FAIL
#
#TEST-Step,15519,PASS-Step,15519,FAIL-Step,0, CCD-Err ,0,SKIP-Err,0
#
#Result(step)
#
#MST,CATEGORY,StepNo.(R),StepNo.(S),BLOCK,PIECE,JUDGE,JMP,MODE,RANGE,POL,REFERENCE,MEAS,So_Moni,Se_Moni,PHASE
 MST,INS,93,3468,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.088E-009,
 MST,INS,94,3469,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-2.723E-009,
 MST,INS,95,3470,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.598E-009,
 MST,INS,96,3471,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-1.883E-009,
 MST,INS,97,3472,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-4.088E-009,
 MST,INS,98,3473,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-1.883E-009,
 MST,INS,99,3474,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-3.562E-009,
 MST,INS,100,3475,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.248E-009,
 MST,INS,101,3476,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-2.723E-009,
 MST,INS,102,3477,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-2.758E-009,
 MST,INS,103,3478,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-3.598E-009,
 MST,INS,104,3479,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-3.598E-009,
 MST,INS,105,3480,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-1.919E-009,
 MST,INS,106,3481,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-3.598E-009,
