2023/05/28,09:31:00,  Test No.:,        17
MAP,BASE,L-TOP,X,1   ,Y,1   
DATA:,3262-019(OS)-OGRT-220902-d
Result of AutoTest(All steps)

Start time:,05/28/2023,09:26:30
End time  :,05/28/2023,09:31:00

Test result:,PASS

TEST-Step,2850,PASS-Step,2850,FAIL-Step,0
CCD-Err,0,SKIP-Err,0




AST,STEP-No.  ,STEP-NAME   ,,MOD  ,JUDGE   ,,  MODE  ,,,,REF-VALUE  ,MEAS-VALUE ,HI-LIMIT   ,LO-LIMIT   ,,,,,,,,,NET_H ,NET_L ,NET_G1,NET_G2,,,,,,,,,,,,,,,,,,,,,,,PNT-H ,PNT-L ,,,,,,,,,,,,SMX,SMY,
AST,58        ,P28   S136  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2880  ,2880  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,28    ,136   ,,,,,,,,,,,,  0,  0,
AST,59        ,P27   S126  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 282.9  kR,           ,           ,,,,,,,,,2881  ,2881  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,27    ,126   ,,,,,,,,,,,,  0,  0,
AST,60        ,P26   S127  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2882  ,2882  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,26    ,127   ,,,,,,,,,,,,  0,  0,
AST,61        ,P31   S140  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2897  ,2897  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,31    ,140   ,,,,,,,,,,,,  0,  0,
AST,62        ,P30   S141  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2898  ,2898  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,30    ,141   ,,,,,,,,,,,,  0,  0,
AST,63        ,P34   S134  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2899  ,2899  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,34    ,134   ,,,,,,,,,,,,  0,  0,
AST,64        ,P35   S135  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 161.2   R,           ,           ,,,,,,,,,2900  ,2900  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,35    ,135   ,,,,,,,,,,,,  0,  0,
AST,65        ,P33   S128  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 218.1   R,           ,           ,,,,,,,,,2901  ,2901  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,33    ,128   ,,,,,,,,,,,,  0,  0,
AST,66        ,P32   S129  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2902  ,2902  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,32    ,129   ,,,,,,,,,,,,  0,  0,
AST,67        ,P43   S142  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 61.30  kR,           ,           ,,,,,,,,,2905  ,2905  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,43    ,142   ,,,,,,,,,,,,  0,  0,
